Run,Sentence,Token,Word
0,246,0,Jessica
0,246,1,going_to
0,246,2,deer
0,247,0,Jessica
0,247,1,going_to
0,247,2,deer
0,248,0,Jessica
0,248,1,chasing
0,248,2,deer
0,249,0,Jessica
0,249,1,throwing
0,249,2,deer
0,250,0,Jessica
0,250,1,searching
0,251,0,Jessica
0,251,1,going_to
0,251,2,deer
0,252,0,Jessica
0,252,1,chasing
0,252,2,deer
0,253,0,Jessica
0,253,1,searching
0,254,0,Jessica
0,254,1,going_to
0,254,2,deer
0,255,0,Jessica
0,255,1,chasing
0,255,2,deer
0,256,0,Jessica
0,256,1,stabbing
0,256,2,deer
0,257,0,Jessica
0,257,1,searching
0,258,0,Jessica
0,258,1,going_to
0,258,2,deer
0,259,0,Jessica
0,259,1,chasing
0,259,2,deer
0,260,0,Jessica
0,260,1,searching
0,261,0,Jessica
0,261,1,going_to
0,261,2,deer
0,262,0,Jessica
0,262,1,chasing
0,262,2,deer
0,263,0,Jessica
0,263,1,shooting
0,263,2,deer
0,264,0,Jessica
0,264,1,gathering
0,264,2,deer
0,265,0,Jessica
0,265,1,butchering
0,265,2,deer
0,266,0,Jessica
0,266,1,washing
0,266,2,deer
0,267,0,Jessica
0,267,1,cooking
0,267,2,deer
0,268,0,Jessica
0,268,1,eating
0,268,2,deer
0,269,0,Jessica
0,269,1,searching
0,270,0,Jessica
0,270,1,going_to
0,270,2,deer
0,271,0,Jessica
0,271,1,going_to
0,271,2,deer
0,272,0,Jessica
0,272,1,going_to
0,272,2,deer
0,273,0,Jessica
0,273,1,going_to
0,273,2,deer
0,274,0,Jessica
0,274,1,chasing
0,274,2,deer
0,275,0,Jessica
0,275,1,searching
0,276,0,Jessica
0,276,1,going_to
0,276,2,deer
0,277,0,Jessica
0,277,1,going_to
0,277,2,deer
0,278,0,Jessica
0,278,1,going_to
0,278,2,deer
0,279,0,Jessica
0,279,1,chasing
0,279,2,deer
0,280,0,Jessica
0,280,1,searching
0,281,0,Jessica
0,281,1,going_to
0,281,2,deer
0,282,0,Jessica
0,282,1,going_to
0,282,2,deer
0,283,0,Jessica
0,283,1,going_to
0,283,2,deer
0,284,0,Jessica
0,284,1,going_to
0,284,2,deer
0,285,0,Jessica
0,285,1,going_to
0,285,2,deer
0,286,0,Jessica
0,286,1,chasing
0,286,2,deer
0,287,0,Jessica
0,287,1,searching
0,288,0,Jessica
0,288,1,going_to
0,288,2,rabbit
0,289,0,Jessica
0,289,1,going_to
0,289,2,rabbit
0,290,0,Jessica
0,290,1,going_to
0,290,2,rabbit
0,291,0,Jessica
0,291,1,going_to
0,291,2,rabbit
0,292,0,Jessica
0,292,1,trapping
0,292,2,rabbit
0,293,0,Jessica
0,293,1,waiting
0,293,2,rabbit
0,294,0,Jessica
0,294,1,catching
0,294,2,rabbit
0,295,0,Jessica
0,295,1,gathering
0,295,2,rabbit
0,296,0,Jessica
0,296,1,butchering
0,296,2,rabbit
0,297,0,Jessica
0,297,1,washing
0,297,2,rabbit
0,298,0,Jessica
0,298,1,cooking
0,298,2,rabbit
0,299,0,Jessica
0,299,1,eating
0,299,2,rabbit
0,300,0,Jessica
0,300,1,searching
0,301,0,Jessica
0,301,1,going_to
0,301,2,rabbit
0,302,0,Jessica
0,302,1,going_to
0,302,2,rabbit
0,303,0,Jessica
0,303,1,going_to
0,303,2,rabbit
0,304,0,Jessica
0,304,1,going_to
0,304,2,rabbit
0,305,0,Jessica
0,305,1,going_to
0,305,2,rabbit
0,306,0,Jessica
0,306,1,trapping
0,306,2,rabbit
0,307,0,Jessica
0,307,1,waiting
0,307,2,rabbit
0,308,0,Jessica
0,308,1,catching
0,308,2,rabbit
0,309,0,Jessica
0,309,1,searching
0,310,0,Jessica
0,310,1,going_to
0,310,2,deer
0,311,0,Jessica
0,311,1,going_to
0,311,2,deer
0,312,0,Jessica
0,312,1,going_to
0,312,2,deer
0,313,0,Jessica
0,313,1,going_to
0,313,2,deer
0,314,0,Jessica
0,314,1,chasing
0,314,2,deer
0,315,0,Jessica
0,315,1,searching
0,316,0,Jessica
0,316,1,going_to
0,316,2,deer
0,317,0,Jessica
0,317,1,going_to
0,317,2,deer
0,318,0,Jessica
0,318,1,going_to
0,318,2,deer
0,319,0,Jessica
0,319,1,going_to
0,319,2,deer
0,320,0,Jessica
0,320,1,going_to
0,320,2,deer
0,321,0,Jessica
0,321,1,chasing
0,321,2,deer
0,322,0,Jessica
0,322,1,stabbing
0,322,2,deer
0,323,0,Jessica
0,323,1,searching
0,324,0,Jessica
0,324,1,going_to
0,324,2,rabbit
0,325,0,Jessica
0,325,1,going_to
0,325,2,rabbit
0,326,0,Jessica
0,326,1,going_to
0,326,2,rabbit
0,327,0,Jessica
0,327,1,chasing
0,327,2,rabbit
0,328,0,Jessica
0,328,1,searching
0,329,0,Jessica
0,329,1,going_to
0,329,2,deer
0,330,0,Jessica
0,330,1,going_to
0,330,2,deer
0,331,0,Jessica
0,331,1,going_to
0,331,2,deer
0,332,0,Jessica
0,332,1,going_to
0,332,2,deer
0,333,0,Jessica
0,333,1,chasing
0,333,2,deer
0,334,0,Jessica
0,334,1,searching
0,335,0,Jessica
0,335,1,going_to
0,335,2,deer
0,336,0,Jessica
0,336,1,going_to
0,336,2,deer
0,337,0,Jessica
0,337,1,going_to
0,337,2,deer
0,338,0,Jessica
0,338,1,chasing
0,338,2,deer
0,339,0,Jessica
0,339,1,throwing
0,339,2,deer
0,340,0,Jessica
0,340,1,searching
0,341,0,Jessica
0,341,1,going_to
0,341,2,deer
0,342,0,Jessica
0,342,1,going_to
0,342,2,deer
0,343,0,Jessica
0,343,1,going_to
0,343,2,deer
0,344,0,Jessica
0,344,1,going_to
0,344,2,deer
0,345,0,Jessica
0,345,1,chasing
0,345,2,deer
0,346,0,Jessica
0,346,1,searching
0,347,0,Jessica
0,347,1,going_to
0,347,2,deer
0,348,0,Jessica
0,348,1,going_to
0,348,2,deer
0,349,0,Jessica
0,349,1,going_to
0,349,2,deer
0,350,0,Jessica
0,350,1,going_to
0,350,2,deer
0,351,0,Jessica
0,351,1,chasing
0,351,2,deer
0,352,0,Jessica
0,352,1,searching
0,353,0,Jessica
0,353,1,going_to
0,353,2,deer
0,354,0,Jessica
0,354,1,going_to
0,354,2,deer
0,355,0,Jessica
0,355,1,chasing
0,355,2,deer
0,356,0,Jessica
0,356,1,shooting
0,356,2,deer
0,357,0,Jessica
0,357,1,gathering
0,357,2,deer
0,358,0,Jessica
0,358,1,butchering
0,358,2,deer
0,359,0,Jessica
0,359,1,washing
0,359,2,deer
0,360,0,Jessica
0,360,1,cooking
0,360,2,deer
0,361,0,Jessica
0,361,1,eating
0,361,2,deer
0,362,0,Jessica
0,362,1,searching
0,363,0,Jessica
0,363,1,going_to
0,363,2,rabbit
0,364,0,Jessica
0,364,1,going_to
0,364,2,rabbit
0,365,0,Jessica
0,365,1,going_to
0,365,2,rabbit
0,366,0,Jessica
0,366,1,trapping
0,366,2,rabbit
0,367,0,Jessica
0,367,1,waiting
0,367,2,rabbit
0,368,0,Jessica
0,368,1,catching
0,368,2,rabbit
0,369,0,Jessica
0,369,1,searching
0,370,0,Jessica
0,370,1,going_to
0,370,2,rabbit
0,371,0,Jessica
0,371,1,going_to
0,371,2,rabbit
0,372,0,Jessica
0,372,1,going_to
0,372,2,rabbit
0,373,0,Jessica
0,373,1,trapping
0,373,2,rabbit
0,374,0,Jessica
0,374,1,waiting
0,374,2,rabbit
0,375,0,Jessica
0,375,1,catching
0,375,2,rabbit
0,376,0,Jessica
0,376,1,searching
0,377,0,Jessica
0,377,1,going_to
0,377,2,rabbit
0,378,0,Jessica
0,378,1,going_to
0,378,2,rabbit
0,379,0,Jessica
0,379,1,going_to
0,379,2,rabbit
0,380,0,Jessica
0,380,1,trapping
0,380,2,rabbit
0,381,0,Jessica
0,381,1,waiting
0,381,2,rabbit
0,382,0,Jessica
0,382,1,catching
0,382,2,rabbit
0,383,0,Jessica
0,383,1,gathering
0,383,2,rabbit
0,384,0,Jessica
0,384,1,butchering
0,384,2,rabbit
0,385,0,Jessica
0,385,1,washing
0,385,2,rabbit
0,386,0,Jessica
0,386,1,cooking
0,386,2,rabbit
0,387,0,Jessica
0,387,1,eating
0,387,2,rabbit
0,388,0,Jessica
0,388,1,searching
0,389,0,Jessica
0,389,1,going_to
0,389,2,rabbit
0,390,0,Jessica
0,390,1,going_to
0,390,2,rabbit
0,391,0,Jessica
0,391,1,going_to
0,391,2,rabbit
0,392,0,Jessica
0,392,1,going_to
0,392,2,rabbit
0,393,0,Jessica
0,393,1,trapping
0,393,2,rabbit
0,394,0,Jessica
0,394,1,waiting
0,394,2,rabbit
0,395,0,Jessica
0,395,1,catching
0,395,2,rabbit
0,396,0,Jessica
0,396,1,searching
0,397,0,Jessica
0,397,1,going_to
0,397,2,rabbit
0,398,0,Jessica
0,398,1,going_to
0,398,2,rabbit
0,399,0,Jessica
0,399,1,going_to
0,399,2,rabbit
0,400,0,Jessica
0,400,1,going_to
0,400,2,rabbit
0,401,0,Jessica
0,401,1,trapping
0,401,2,rabbit
0,402,0,Jessica
0,402,1,waiting
0,402,2,rabbit
0,403,0,Jessica
0,403,1,catching
0,403,2,rabbit
0,404,0,Jessica
0,404,1,gathering
0,404,2,rabbit
0,405,0,Jessica
0,405,1,butchering
0,405,2,rabbit
0,406,0,Jessica
0,406,1,washing
0,406,2,rabbit
0,407,0,Jessica
0,407,1,cooking
0,407,2,rabbit
0,408,0,Jessica
0,408,1,eating
0,408,2,rabbit
0,409,0,Jessica
0,409,1,searching
0,410,0,Jessica
0,410,1,going_to
0,410,2,deer
0,411,0,Jessica
0,411,1,going_to
0,411,2,deer
0,412,0,Jessica
0,412,1,going_to
0,412,2,deer
0,413,0,Jessica
0,413,1,chasing
0,413,2,deer
0,414,0,Jessica
0,414,1,searching
0,415,0,Jessica
0,415,1,going_to
0,415,2,rabbit
0,416,0,Jessica
0,416,1,going_to
0,416,2,rabbit
0,417,0,Jessica
0,417,1,going_to
0,417,2,rabbit
0,418,0,Jessica
0,418,1,trapping
0,418,2,rabbit
0,419,0,Jessica
0,419,1,waiting
0,419,2,rabbit
0,420,0,Jessica
0,420,1,catching
0,420,2,rabbit
0,421,0,Jessica
0,421,1,searching
0,422,0,Jessica
0,422,1,going_to
0,422,2,rabbit
0,423,0,Jessica
0,423,1,going_to
0,423,2,rabbit
0,424,0,Jessica
0,424,1,going_to
0,424,2,rabbit
0,425,0,Jessica
0,425,1,trapping
0,425,2,rabbit
0,426,0,Jessica
0,426,1,waiting
0,426,2,rabbit
0,427,0,Jessica
0,427,1,catching
0,427,2,rabbit
0,428,0,Jessica
0,428,1,searching
0,429,0,Jessica
0,429,1,going_to
0,429,2,deer
0,430,0,Jessica
0,430,1,going_to
0,430,2,deer
0,431,0,Jessica
0,431,1,going_to
0,431,2,deer
0,432,0,Jessica
0,432,1,chasing
0,432,2,deer
0,433,0,Jessica
0,433,1,shooting
0,433,2,deer
0,434,0,Jessica
0,434,1,gathering
0,434,2,deer
0,435,0,Jessica
0,435,1,butchering
0,435,2,deer
0,436,0,Jessica
0,436,1,washing
0,436,2,deer
0,437,0,Jessica
0,437,1,cooking
0,437,2,deer
0,438,0,Jessica
0,438,1,eating
0,438,2,deer
0,439,0,Jessica
0,439,1,searching
0,440,0,Jessica
0,440,1,going_to
0,440,2,rabbit
0,441,0,Jessica
0,441,1,going_to
0,441,2,rabbit
0,442,0,Jessica
0,442,1,going_to
0,442,2,rabbit
0,443,0,Jessica
0,443,1,going_to
0,443,2,rabbit
0,444,0,Jessica
0,444,1,trapping
0,444,2,rabbit
0,445,0,Jessica
0,445,1,waiting
0,445,2,rabbit
0,446,0,Jessica
0,446,1,catching
0,446,2,rabbit
0,447,0,Jessica
0,447,1,gathering
0,447,2,rabbit
0,448,0,Jessica
0,448,1,butchering
0,448,2,rabbit
0,449,0,Jessica
0,449,1,washing
0,449,2,rabbit
0,450,0,Jessica
0,450,1,cooking
0,450,2,rabbit
0,451,0,Jessica
0,451,1,eating
0,451,2,rabbit
0,452,0,Jessica
0,452,1,searching
0,453,0,Jessica
0,453,1,going_to
0,453,2,deer
0,454,0,Jessica
0,454,1,going_to
0,454,2,deer
0,455,0,Jessica
0,455,1,going_to
0,455,2,deer
0,456,0,Jessica
0,456,1,going_to
0,456,2,deer
0,457,0,Jessica
0,457,1,chasing
0,457,2,deer
0,458,0,Jessica
0,458,1,throwing
0,458,2,deer
0,459,0,Jessica
0,459,1,searching
0,460,0,Jessica
0,460,1,going_to
0,460,2,deer
0,461,0,Jessica
0,461,1,going_to
0,461,2,deer
0,462,0,Jessica
0,462,1,going_to
0,462,2,deer
0,463,0,Jessica
0,463,1,going_to
0,463,2,deer
0,464,0,Jessica
0,464,1,going_to
0,464,2,deer
0,465,0,Jessica
0,465,1,chasing
0,465,2,deer
0,466,0,Jessica
0,466,1,searching
0,467,0,Jessica
0,467,1,going_to
0,467,2,deer
0,468,0,Jessica
0,468,1,going_to
0,468,2,deer
0,469,0,Jessica
0,469,1,going_to
0,469,2,deer
0,470,0,Jessica
0,470,1,going_to
0,470,2,deer
0,471,0,Jessica
0,471,1,going_to
0,471,2,deer
0,472,0,Jessica
0,472,1,chasing
0,472,2,deer
0,473,0,Jessica
0,473,1,searching
0,474,0,Jessica
0,474,1,going_to
0,474,2,rabbit
0,475,0,Jessica
0,475,1,going_to
0,475,2,rabbit
0,476,0,Jessica
0,476,1,going_to
0,476,2,rabbit
0,477,0,Jessica
0,477,1,trapping
0,477,2,rabbit
0,478,0,Jessica
0,478,1,waiting
0,478,2,rabbit
0,479,0,Jessica
0,479,1,catching
0,479,2,rabbit
0,480,0,Jessica
0,480,1,gathering
0,480,2,rabbit
0,481,0,Jessica
0,481,1,butchering
0,481,2,rabbit
0,482,0,Jessica
0,482,1,washing
0,482,2,rabbit
0,483,0,Jessica
0,483,1,cooking
0,483,2,rabbit
0,484,0,Jessica
0,484,1,eating
0,484,2,rabbit
0,485,0,Jessica
0,485,1,searching
0,486,0,Jessica
0,486,1,going_to
0,486,2,rabbit
0,487,0,Jessica
0,487,1,going_to
0,487,2,rabbit
0,488,0,Jessica
0,488,1,going_to
0,488,2,rabbit
0,489,0,Jessica
0,489,1,going_to
0,489,2,rabbit
0,490,0,Jessica
0,490,1,going_to
0,490,2,rabbit
0,491,0,Jessica
0,491,1,trapping
0,491,2,rabbit
0,492,0,Jessica
0,492,1,waiting
0,492,2,rabbit
0,493,0,Jessica
0,493,1,catching
0,493,2,rabbit
0,494,0,Jessica
